album_name,artist_name,album_link,avg_rating,num_ratings
Speak Now (Taylor's Version),Taylor Swift,https://www.discogs.com/release/27604608-Taylor-Swift-Speak-Now-Taylors-Version,4.59,1404
Scum Fuck Flower Boy,"Tyler, The Creator",https://www.discogs.com/release/11195697-TylerCreator-Scum-Fuck-Flower-Boy,4.51,2350
Abbey Road,The Beatles,https://www.discogs.com/release/14186441-The-Beatles-Abbey-Road,4.73,2917
Hunky Dory,David Bowie,https://www.discogs.com/release/8162088-David-Bowie-Hunky-Dory,4.65,2581
Magical Mystery Tour,The Beatles,https://www.discogs.com/release/464292-The-Beatles-Magical-Mystery-Tour,4.35,1768
"When We All Fall Asleep, Where Do We Go?",Billie Eilish,https://www.discogs.com/release/13414611-Billie-Eilish-When-We-All-Fall-Asleep-Where-Do-We-Go,4.48,2254
Led Zeppelin III,Led Zeppelin,https://www.discogs.com/release/5734538-Led-Zeppelin-Led-Zeppelin-III,4.63,2941
The Stranger,Billy Joel,https://www.discogs.com/release/1108650-Billy-Joel-The-Stranger,4.27,2039
Folklore,Taylor Swift,https://www.discogs.com/release/16244176-Taylor-Swift-Folklore,4.67,1592
The Doors,The Doors,https://www.discogs.com/release/2548932-The-Doors-The-Doors,4.62,3027
MM..Food,MF Doom,https://www.discogs.com/release/15724598-MF-Doom-MMFood,4.73,2083
Damn.,Kendrick Lamar,https://www.discogs.com/release/10559651-Kendrick-Lamar-Damn,4.62,1862
Fleet Foxes,Fleet Foxes,https://www.discogs.com/release/1359927-Fleet-Foxes-Fleet-Foxes,4.46,2260
American Idiot,Green Day,https://www.discogs.com/release/1203470-Green-Day-American-Idiot,4.56,2122
The Dark Side Of The Moon,Pink Floyd,https://www.discogs.com/release/1873013-Pink-Floyd-The-Dark-Side-Of-The-Moon,4.66,2597
Hatful Of Hollow,The Smiths,https://www.discogs.com/release/3715754-The-Smiths-Hatful-Of-Hollow,4.54,2047
1989,Taylor Swift,https://www.discogs.com/release/6392060-Taylor-Swift-1989,4.57,1533
Ten,Pearl Jam,https://www.discogs.com/release/11116451-Pearl-Jam-Ten,4.63,1919
Let It Be,The Beatles,https://www.discogs.com/release/377554-The-Beatles-Let-It-Be,4.35,2432
4,Foreigner,https://www.discogs.com/release/401466-Foreigner-4,3.97,1600
Rage Against The Machine,Rage Against The Machine,https://www.discogs.com/release/4073023-Rage-Against-The-Machine-Rage-Against-The-Machine,4.68,1821
Johnny Cash At San Quentin,Johnny Cash,https://www.discogs.com/release/1595647-Johnny-Cash-Johnny-Cash-At-San-Quentin,4.26,1480
Siamese Dream,Smashing Pumpkins*,https://www.discogs.com/release/3255473-Smashing-Pumpkins-Siamese-Dream,4.74,2447
Guardians Of The Galaxy Awesome Mix Vol. 1,Various,https://www.discogs.com/release/6149924-Various-Guardians-Of-The-Galaxy-Awesome-Mix-Vol-1,4.42,1920
To Pimp A Butterfly,Kendrick Lamar,https://www.discogs.com/release/7557957-Kendrick-Lamar-To-Pimp-A-Butterfly,4.75,2487
Legend - The Best Of Bob Marley And The Wailers,Bob Marley & The Wailers,https://www.discogs.com/release/4418438-Bob-Marley-The-Wailers-Legend-The-Best-Of-Bob-Marley-And-The-Wailers,4.54,2018
Madvillain - Madvillainy,Doom* And Madlib,https://www.discogs.com/release/242785-Doom-And-Madlib-Madvillain-Madvillainy,4.72,3026
Toxicity,System Of A Down,https://www.discogs.com/release/12642678-System-Of-A-Down-Toxicity,4.70,1692
"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,https://www.discogs.com/release/612972-Arctic-Monkeys-Whatever-People-Say-I-Am-Thats-What-Im-Not,4.55,2360
Back In Black,AC/DC,https://www.discogs.com/release/1949857-ACDC-Back-In-Black,4.61,3031
Lover (Live From Paris),Taylor Swift,https://www.discogs.com/release/32796732-Taylor-Swift-Lover-Live-From-Paris,4.79,1724
Back To Black,Amy Winehouse,https://www.discogs.com/release/11557309-Amy-Winehouse-Back-To-Black,4.55,1876
Simon And Garfunkel's Greatest Hits,Simon & Garfunkel,https://www.discogs.com/release/1870306-Simon-Garfunkel-Simon-And-Garfunkels-Greatest-Hits,4.11,1117
Lover,Taylor Swift,https://www.discogs.com/release/14408244-Taylor-Swift-Lover,4.54,1534
Bad,Michael Jackson,https://www.discogs.com/release/247822-Michael-Jackson-Bad,4.32,2885
Stranger In The Alps,Phoebe Bridgers,https://www.discogs.com/release/10901377-Phoebe-Bridgers-Stranger-In-The-Alps,4.60,1248
Blonde,Frank Ocean,https://www.discogs.com/release/25500877-Frank-Ocean-Blonde,4.90,2235
Frampton Comes Alive!,Peter Frampton,https://www.discogs.com/release/401512-Peter-Frampton-Frampton-Comes-Alive,3.92,1527
The College Dropout,Kanye West,https://www.discogs.com/release/233445-Kanye-West-The-College-Dropout,4.57,2071
The Chronic,Dr. Dre,https://www.discogs.com/release/605246-Dr-Dre-The-Chronic,4.56,2190
Fine Line,Harry Styles,https://www.discogs.com/release/14525240-Harry-Styles-Fine-Line,4.65,1233
Weezer,Weezer,https://www.discogs.com/release/9253620-Weezer-Weezer,4.52,1514
Ride The Lightning,Metallica,https://www.discogs.com/release/8385645-Metallica-Ride-The-Lightning,4.69,2099
A Night At The Opera,Queen,https://www.discogs.com/release/612780-Queen-A-Night-At-The-Opera,4.42,2194
Saturday Night Fever (The Original Movie Sound Track),Various,https://www.discogs.com/release/2632748-Various-Saturday-Night-Fever-The-Original-Movie-Sound-Track,4.05,1130
Definitely Maybe,Oasis (2),https://www.discogs.com/release/5697791-Oasis-Definitely-Maybe,4.64,2155
Blue Lines,Massive Attack,https://www.discogs.com/release/9442778-Massive-Attack-Blue-Lines,4.63,2278
